Date,Description,Type,Amount,Balance,Source
2025-01-02,Google Workspace,Card ••2904,-24.00,,automatique-inc-7968-monthly-statement-2025-01.pdf
2025-01-02,Google Cloud,Card ••1620,-0.54,18718.05,automatique-inc-7968-monthly-statement-2025-01.pdf
2025-01-03,Slack,Card ••4595,-24.79,18693.26,automatique-inc-7968-monthly-statement-2025-01.pdf
2025-01-09,OpenAI,Card ••4041,-200.00,18493.26,automatique-inc-7968-monthly-statement-2025-01.pdf
2025-01-10,Bitrise Limited,Card ••7777,-210.00,18283.26,automatique-inc-7968-monthly-statement-2025-01.pdf
2025-01-13,Notion,Card ••2046,-44.00,18239.26,automatique-inc-7968-monthly-statement-2025-01.pdf
2025-01-19,Slack,Card ••4595,-17.50,18221.76,automatique-inc-7968-monthly-statement-2025-01.pdf
2025-01-25,Heroku,Card ••7669,-118.48,18103.28,automatique-inc-7968-monthly-statement-2025-01.pdf
2025-01-27,Whimsical,Card ••4966,-12.00,18091.28,automatique-inc-7968-monthly-statement-2025-01.pdf
