Description,Date Acquired,Date Sold,Proceeds,Cost Basis,Gain/Loss,Term
BTC to ETH,2022-03-16,2022-03-17,39443.30,40200.00,-756.70,Short-term
BTC to ETH,2022-03-16,2022-03-17,981.57,1000.01,-18.44,Short-term
BTC to ETH,2022-03-23,2022-03-24,4904.06,4996.00,-91.94,Short-term
BTC to APE,2022-03-28,2022-03-28,1958.57,1999.99,-41.42,Short-term
BTC to USDC,Various 2021,2022-03-29,21021.18,23350.13,-2328.95,Short-term
FLOW to USDC,2022-07-09,2022-07-11,115297.68,122575.85,-7278.17,Short-term
FLOW to USDC,2022-12-06,2022-12-09,38998.39,42798.94,-3800.55,Short-term
